Title,Category,Year,Director,Rating,Edited,LentTo,Notes
29,Miscellaneous,2003,Alan Seawright,NR,,,
127 Hours,Drama,2010,Danny Boyle,R,Yes,,Plex
24 (Season 1),Television,2001-2002,"Joel Surnow, Robert Cochran",TV-14,,,Plex
24 (Season 2),Television,2002-2003,"Joel Surnow, Robert Cochran",TV-14,,,Plex
24 (Season 3),Television,2003-2004,"Joel Surnow, Robert Cochran",TV-14,,,Plex
28 Days Later,Horror/Suspense,2002,Danny Boyle,R,Yes,,Plex
29: Day 2,Miscellaneous,2004,Alan Seawright,NR,,,
39 Steps,Horror/Suspense,1935,Alfred Hitchcock,UR,,,Plex
Abbott and Costello Meet Frankenstein,Horror/Suspense,1948,Charles Barton,NR,,,Plex
"Abominable Dr. Phibes, The",Horror/Suspense,1971,Robert Fuest,PG-13,,,Plex
About Time,Drama,2013,Richard Curtis,R,Yes,,Plex
Ace Ventura: Pet Detective,Comedy,1994,Tom Shadyac,PG-13,,,?
"Adventures of Brisco County, Jr.: The Complete Series, The",Television,1993-1994,"Carlton Cuse, Jeffrey Boam",TV-PG,,,Plex
"Adventures of Ichabod and Mr. Toad, The",Family,1949,"Clyde Geronimi, Jack Kinney, James Algar",G,,,Plex
Aladdin,Family,1992,"Ron Clements, John Musker",G,,,Plex
Amélie,Comedy,2001,Jean-Pierre Jeunet,R,Yes,,Plex
An American Tail,Family,1986,Don Bluth,G,,,Plex
An American Tail: Fievel Goes West,Family,1991,"Phil Nibbelink, Simon Wells",G,,,Plex
Anchorman: The Legend of Ron Burgundy,Comedy,2004,Adam McKay,PG-13,Yes,,Plex
Animal Crackers,Comedy,1930,Victor Heerman,G,,,Blu-ray
Annie,Family,1982,John Huston,PG,,,Plex
Arrested Development (Season 1),Television,2003-2004,Mitchell Hurwitz,TV-PG,,,Plex
Arrested Development (Season 2),Television,2004-2005,Mitchell Hurwitz,TV-14,,,Plex
Arrested Development (Season 3),Television,2005-2006,Mitchell Hurwitz,TV-14,,,Plex
Avatar: The Last Airbender (Book 1),Television,2005,"Michael Dante DiMartino, Bryan Konietzko",TV-Y7,,,Plex
Avatar: The Last Airbender (Book 2),Television,2006,"Michael Dante DiMartino, Bryan Konietzko",TV-Y7,,,Plex
Avatar: The Last Airbender (Book 3),Television,2007-2008,"Michael Dante DiMartino, Bryan Konietzko",TV-Y7,,,Plex
"Avengers, The",Action/Adventure,2012,Joss Whedon,PG-13,,,Plex
Back to the Future,Comedy,1985,Robert Zemeckis,PG,,,Plex
Back to the Future Part II,Comedy,1989,Robert Zemeckis,PG,,,Plex
Back to the Future Part III,Comedy,1990,Robert Zemeckis,PG,,,Plex
Barefoot in the Park,Comedy,1967,Gene Saks,G,,,Plex
Barenaked Ladies - Barelaked Nadies,Miscellaneous,2002,Tim Hamilton,NR,,,
Batman,Action/Adventure,1989,Tim Burton,PG-13,,,Plex
Batman & Robin,Action/Adventure,1997,Joel Schumacher,PG-13,,,Plex
Batman Begins,Action/Adventure,2005,Christopher Nolan,PG-13,,,Plex
Batman Forever,Action/Adventure,1995,Joel Schumacher,PG-13,,,Plex
Batman Returns,Action/Adventure,1992,Tim Burton,PG-13,,,Plex
Beauty and the Beast,Family,1991,"Kirk Wise, Gary Trousdale",G,,,Plex
Beetlejuice,Comedy,1988,Tim Burton,PG-13,,,Plex
Bellydance Core Conditioning,Miscellaneous,2005,Neena & Veena,NR,,,Plex
Best In Show,Comedy,2000,Christopher Guest,PG-13,,,Plex
"Best Two Years, The",Family,2003,Scott S. Anderson,PG,,,Plex
Better Off Dead,Comedy,1985,Savage Steve Holland,PG,,,Plex
Big,Comedy,1988,Penny Marshall,PG,,,Plex
Big Fish,Drama,2003,Tim Burton,PG-13,,,Plex
Bill & Ted's Bogus Journey,Comedy,1991,Peter Hewitt,PG,,,Plex
Bill & Ted's Excellent Adventure,Comedy,1989,Stephen Herek,PG,,,Plex
Blackmail,Horror/Suspense,1929,Alfred Hitchcock,UR,,,Plex
"Blair Witch Project, The",Horror/Suspense,1999,"Eduardo Sánchez, Daniel Myrick",R,Yes,,Plex
Blue Man Group - The Complex Rock Tour Live,Miscellaneous,2003,"Matt Goldman, Phil Stanton, Chris Wink",NR,,,Plex
"Boondock Saints, The",Action/Adventure,1999,Troy Duffy,R,Yes,,Plex
Braveheart,Drama,1995,Mel Gibson,R,Yes,,Plex
Brian Regan: I Walked on the Moon,Comedy,2004,John Brenkus,NR,,,Plex
"Bride of Frankenstein, The",Horror/Suspense,1935,James Whale,NR,,,Plex
Bridesmaids,Comedy,2011,Paul Feig,R,Yes,,Plex
Bruce Almighty,Comedy,2003,Tom Shadyac,PG-13,,,Plex
Buffy the Vampire Slayer,Horror/Suspense,1992,Fran Rubel Kuzui,PG-13,,,Plex
Buster Keaton Collection,Comedy,1920,Buster Keaton,UR,,,
Cabin in the Woods,Horror/Suspense,2012,Drew Goddard,R,Yes,,Plex
Cars,Family,2006,John Lasseter,G,,,Plex
Cartoon Lagoon,Miscellaneous,2012,Euralis Weekes,NR,,,
Casablanca,Drama,1942,Michael Curtiz,PG,,,Plex
"Changeling, The",Horror/Suspense,1980,Peter Medak,PG,,,Plex
Charlie and the Chocolate Factory,Family,2005,Tim Burton,PG,,,Plex
Cheaper By The Dozen,Family,2003,Shawn Levy,PG,,,Plex
Chronicle,Horror/Suspense,2012,Josh Trank,PG-13,,,Plex
Cinderella,Family,1950,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske",G,,,Plex
Cinderella,Family,2015,Kenneth Branagh,PG,,,Plex
"Cinderella Story, A",Family,2004,Mark Rosman,PG,,,Plex
Cloudy with a Chance of Meatballs,Family,2009,"Chris Miller, Phil Lord",G,,,Plex
Clue,Comedy,1985,Jonathan Lynn,PG,,,Plex
"Cocoanuts, The",Comedy,1929,"Joseph Santley, Robert Florey",G,,,Blu-ray
Community (Season 1),Television,2009 - 2010,Dan Harmon,TV-PG,,,Plex
Community (Season 2),Television,2010 - 2011,Dan Harmon,TV-PG,,,Plex
Community (Season 3),Television,2011-2012,Dan Harmon,TV-PG,,,Plex
Community (Season 4),Television,2013,Dan Harmon,TV-PG,,,Plex
Community (Season 5),Television,2014,Dan Harmon,TV-PG,,,Plex
Community (Season 6),Television,2015,Dan Harmon,TV-PG,,,Plex
Core Secrets: 25 Minute Full Body Workout / Accelerated Core Training,Miscellaneous,2003,Gunnar Peterson,NR,,,
"Count of Monte Cristo, The",Drama,2002,Kevin Reynolds,PG-13,,,Plex
Creature from the Black Lagoon,Horror/Suspense,1954,Jack Arnold,NR,,,Plex
Crunch - Pick Your Spot Pilates,Miscellaneous,2002,Ellen Barrett,NR,,,
"Dark Knight Rises, The",Action/Adventure,2012,Christopher Nolan,PG-13,,,Plex
"Dark Knight, The",Action/Adventure,2008,Christopher Nolan,PG-13,,,Plex
Dawn of the Dead,Horror/Suspense,2004,Zack Snyder,R,Yes,,Plex
Dementia 13,Horror/Suspense,1963,Francis Ford Coppola,UR,,,Plex
"Departed, The",Drama,2006,Martin Scorsese,R,Yes,,Plex
Despicable Me,Family,2010,"Pierre Coffin, Chris Renaud",PG,,,Plex
Devil,Horror/Suspense,2010,John Erick Dowdle,PG-13,,,Plex
Die Hard,Action/Adventure,1988,John McTiernan,R,Yes,,Plex
District 9,Action/Adventure,2009,Neill Blomkamp,R,Yes,,Plex
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy,1964,Stanley Kubrick,PG,,,Plex
Dracula,Horror/Suspense,1931,"Tod Browning, Karl Freund",NR,,,Plex
"Dream Team, The",Comedy,1989,Howard Zieff,PG-13,,,Plex
Duck Soup,Comedy,1933,Leo McCarey,G,,,Blu-ray
Dumb & Dumber,Comedy,1994,The Farrelly Brothers,PG-13,,,Plex
"Emperor’s New Groove, The",Family,2000,Mark Dindal,G,,,
Enchanted,Family,2007,Kevin Lima,PG,,,Plex
Ernest Goes to Camp,Family,1987,John R. Cherry III,PG,,,Plex
Ernest Goes to Jail,Family,1990,John R. Cherry III,PG,,,Plex
Ernest Scared Stupid,Family,1991,John R. Cherry III,PG,,,Plex
Eternal Sunshine of the Spotless Mind,Drama,2004,Michel Gondry,R,Yes,,Plex
Far and Away,Drama,1992,Ron Howard,PG-13,,,Plex
Faux Paw Adventures in the Internet,Miscellaneous,2008,Kreg Peeler,NR,,,Plex
Ferris Bueller’s Day Off,Comedy,1986,John Hughes,PG-13,,,Plex
Fido,Horror/Suspense,2006,Andrew Currie,R,,,Plex
Finding Nemo,Family,2003,Andrew Stanton,G,,,
Finding Neverland,Drama,2004,Marc Forster,PG,,,Plex
Firefly: The Complete Series,Television,2002-2003,Joss Whedon,TV-14,,,Plex
Fletch,Comedy,1985,Michael Ritchie,PG,,,Plex
Fletch Lives,Comedy,1989,Michael Ritchie,PG,,,Plex
"Flight of Dragons, The",Family,1982,Arthur Rankin & Jules Bass,NR,,,
Frankenstein,Horror/Suspense,1931,James Whale,NR,,,Plex
Frankenstein Meets the Wolf Man,Horror/Suspense,1943,Roy William Neill,UR,,,Plex
Garfield's Halloween Adventure,Horror/Suspense,1985,Phil Roman,TV-G,,,Amazon Prime
"General, The",Comedy,1927,Buster Keaton,UR,,,Plex
Ghostbusters,Comedy,1984,Ivan Reitman,PG,,,Plex
Gone with the Wind,Drama,1939,Victor Fleming,G,,,Plex
"Goofy Movie, A",Family,1995,Kevin Lima,G,,,Plex
"Goonies, The",Family,1985,Richard Donner,PG,,,Plex
"Great Muppet Caper, The",Family,1981,Jim Henson,G,,,Plex
"Greatest Showman, The",Family,2017,Michael Gracey,PG,,,Plex
"Green Mile, The",Drama,1999,Frank Darabont,R,Yes,,Plex
Gremlins,Comedy,1984,Joe Dante,PG,,,Plex
Gremlins 2: The New Batch,Comedy,1990,Joe Dante,PG-13,,,Plex
Groundhog Day,Comedy,1993,Harold Ramis,PG,,,Plex
"Grudge, The",Horror/Suspense,2004,Takashi Shimizu,PG-13,,,Plex
Harry Potter and the Chamber of Secrets,Action/Adventure,2002,Chris Columbus,PG,,,Plex
Harry Potter and the Deathly Hallows – Part 1,Action/Adventure,2010,David Yates,PG-13,,,Plex
Harry Potter and the Deathly Hallows – Part 2,Action/Adventure,2011,David Yates,PG-13,,,Plex
Harry Potter and the Goblet of Fire,Action/Adventure,2005,Mike Newell,PG-13,,,Plex
Harry Potter and the Half-Blood Prince,Action/Adventure,2009,David Yates,PG,,,Plex
Harry Potter and the Order of the Phoenix,Action/Adventure,2007,David Yates,PG-13,,,Plex
Harry Potter and the Prisoner of Azkaban,Action/Adventure,2004,Alfonso Cuarón,PG,,,Plex
Harry Potter and the Sorcerer's Stone,Action/Adventure,2001,Chris Columbus,PG,,,Plex
Haunted Honeymoon,Horror/Suspense,1986,Gene Wilder,PG,,,Plex
"Haunting, The",Horror/Suspense,1963,Robert Wise,NR,,,Plex/Amazon Prime
He Loves Me... He Loves Me Not,Drama,2002,Laetitia Colombani,PG-13,,,Plex
Heart and Souls,Comedy,1993,Ron Underwood,PG-13,,,Plex
Heidi's Song,Family,1982,Robert Taylor,G,,,
High School Musical,Family,2006,Kenny Ortega,G,,,Plex
Hitch,Comedy,2005,Andy Tennant,PG-13,,,Plex
Home Alone,Family,1990,Chris Columbus,PG,,,Plex
"Honey, I Shrunk the Kids",Family,1989,Joe Johnston,PG,,,Plex
Hook,Family,1991,Steven Spielberg,PG,,,Plex
Horse Feathers,Comedy,1932,Norman Z. McLeod,G,,,Blu-ray
Hot Fuzz,Comedy,2007,Edgar Wright,R,Yes,,Plex
Hot Shots!,Comedy,1991,Jim Abrahams,PG-13,,,Plex
Hot Shots! Part Deux,Comedy,1993,Jim Abrahams,PG-13,,,Plex
House on Haunted Hill,Horror/Suspense,1959,William Castle,NR,,,Rifftrax
How to Succeed in Business Without Really Trying,Family,1967,David Swift,UR,,,Plex
"Hudsucker Proxy, The",Comedy,1994,"Joel Coen, Ethan Coen",PG,,,Plex
"I Love You, Man",Comedy,2009,John Hamburg,R,Yes,,Plex
Identity,Horror/Suspense,2003,James Mangold,R,Yes,,Plex
In the Good Old Summertime,Family,1949,"Buster Keaton, Robert Z. Leonard",UR,,,Plex
Inception,Action/Adventure,2010,Christopher Nolan,PG-13,,,Plex
"Incredible Hulk, The",Action/Adventure,2008,Louis Leterrier,PG-13,,,Plex
"Incredibles, The",Family,2004,Brad Bird,PG,,,Plex
Independence Day,Action/Adventure,1996,Roland Emmerich,PG-13,,,Plex
Indiana Jones and the Last Crusade,Action/Adventure,1989,Steven Spielberg,PG-13,,,Plex
Indiana Jones and the Raiders of the Lost Ark,Action/Adventure,1981,Steven Spielberg,PG,,,Plex
Indiana Jones and the Temple of Doom,Action/Adventure,1984,Steven Spielberg,PG,,,Plex
Innerspace,Comedy,1987,Joe Dante,PG,,,Plex
Invaders From Mars,Horror/Suspense,1986,Tobe Hooper,PG,,,Plex
"Invisible Man, The",Horror/Suspense,1933,James Whale,NR,,,Plex
Iron Man,Action/Adventure,2008,Jon Favreau,PG-13,,,Plex
It's a Wonderful Life,Family,1946,Frank Capra,NR,,,Plex
"Italian Job, The",Action/Adventure,2003,F. Gary Gray,PG-13,,,Plex
Jaws,Horror/Suspense,1975,Steven Spielberg,PG,,,Plex
Josie and the Pussycats,Comedy,2001,"Harry Elfont, Deborah Kaplan",PG-13,,,Plex
Joy Ride,VHS,2001,John Dahl,R,Yes,,
Jumanji,Family,1995,Joe Johnston,PG,,,Plex
Juno & The Paycock,Horror/Suspense,1930,Alfred Hitchcock,UR,,,
Jurassic Park,Action/Adventure,1993,Steven Spielberg,PG-13,,,Plex
Kick-@$$,Action/Adventure,2010,Matthew Vaughn,R,Yes,,Plex
"Kid, The",Comedy,1921,Charlie Chaplin,UR,,,Plex
"King of Kong: A Fistful of Quarters, The",Comedy,2007,Seth Gordon,PG-13,,,Plex
Kung Fu Hustle,Comedy,2005,Stephen Chow,R,Yes,,Plex
Kung Pow! Enter the Fist,Comedy,2001,Steve Oedekerk,PG-13,,,Plex
La La Land,Drama,2016,Damien Chazelle,PG-13,,,Plex
